contact_url,contact_name,contact_dept,Telephone:,Mobile Phone:,Fax:,Address:,Zip:,Country/Region:,Province/State:,City:
https://in102469135.trustpass.alibaba.com/contactinfo.html,Mr. Vikram Kanodia,,0,0,0,"5A / 4A, 3rd floor, Ansari Road, ",110002,India,Delhi,New Delhi
https://techijet.en.alibaba.com/contactinfo.html,Mr. TECHiJET QS,Sales,0,,,"Buiding 5, No.11 Kechuang 14th Street, Economic Technological Development Area",100176,China,Beijing,BEIJING
https://forwardmedical.en.alibaba.com/contactinfo.html,Mr. Simon Shang,Marketing,0,0,,Xincun West Rd.179#,255000,China,Shandong,Zibo City
https://gxsjkj.en.alibaba.com/contactinfo.html,Ms. Jenny xie,Marketing,0,0,0,"Litang Industrial area,Binyang, Nanning City ,Guangxi ,530409,China ",530409,China,Guangxi,nanning city
https://anpingtengqi.en.alibaba.com/contactinfo.html,Mr. anping chen,Director/CEO/General Manager,0,0,,fengqiao,31811,China,Zhejiang,zhuji 
https://yzsunvian.en.alibaba.com/contactinfo.html,Mr. Feng Yuan,Director/CEO/General Manager,0,0,0,"Room 801,Constellation International NO.330, Hanjiang Middle Road, YangZhou,JiangSu,China ",225009,China,Jiangsu,Yangzhou
https://wantten.en.alibaba.com/contactinfo.html,Ms. Echo Chan,Marketing,0,0,0,"Nanhai Town,Meizhen Industrial Area,",528000,China,Guangdong,Foshan City
https://gdxyl.en.alibaba.com/contactinfo.html,Ms. Fecinla Fung,Marketing,0,0,0,"No. 18, Industries Street, Yayao Town, Heshan",529000,China,Guangdong,Jiangmen
https://sunlightforever.en.alibaba.com/contactinfo.html,Mr. David Liu,Sales,0,0,0," NO.4913,1ST ZHUO YUE BUILDING, 10TH JING ROAD WITH 7TH WEI ROAD, HE DONG DISTRICT, TIANJIN, CHINA",300000,China,Tianjin,Tianjin
https://waterjet.en.alibaba.com/contactinfo.html,Ms. Tina Wang,,0,,,"No.15-1,Hunnan East Road,Export Processing Zone",110179,China,Liaoning,Shenyang
https://kylekzd.en.alibaba.com/contactinfo.html,Mr. Jason Yu,Sales,0,0,,"Area A2,The Longtou Material Market of Furniture",528000,China,Guangdong,Foshan
https://richeng-rubber.en.alibaba.com/contactinfo.html,Mr. William Wong,Sales,0,0,0,"Jiaoxi Industrial Park, Wujin District",213116,China,Jiangsu,Changzhou
https://hzweishi.en.alibaba.com/contactinfo.html,Mr. Pum Wayne,Sales,0,,,wuchang street,310023,China,Zhejiang,Hangzhou
https://jhypackaging.en.alibaba.com/contactinfo.html,Ms. Amanda Li,Sales,0,0,0,"Xiangsi Village,Xianggongzhuang Town",250203,China,Shandong,Ji'nan
